,type,date,start_time,end_time,usage,units,cost,notes,solar_generated,usage_adjusted,grid_sell
0,Electric usage,2023-01-30 00:00:00-08:00,00:00:00,00:14:00,0.11,kWh,$0.03,,,,
1,Electric usage,2023-01-30 00:00:00-08:00,00:15:00,00:29:00,0.11,kWh,$0.03,,,,
2,Electric usage,2023-01-30 00:00:00-08:00,00:30:00,00:44:00,0.11,kWh,$0.03,,,,
3,Electric usage,2023-01-30 00:00:00-08:00,00:45:00,00:59:00,0.11,kWh,$0.03,,,,
4,Electric usage,2023-01-30 00:00:00-08:00,01:00:00,01:14:00,0.1,kWh,$0.03,,,,
5,Electric usage,2023-01-30 00:00:00-08:00,01:15:00,01:29:00,0.1,kWh,$0.03,,,,
6,Electric usage,2023-01-30 00:00:00-08:00,01:30:00,01:44:00,0.1,kWh,$0.03,,,,
7,Electric usage,2023-01-30 00:00:00-08:00,01:45:00,01:59:00,0.1,kWh,$0.03,,,,
8,Electric usage,2023-01-30 00:00:00-08:00,02:00:00,02:14:00,0.1,kWh,$0.03,,,,
9,Electric usage,2023-01-30 00:00:00-08:00,02:15:00,02:29:00,0.1,kWh,$0.03,,,,
10,Electric usage,2023-01-30 00:00:00-08:00,02:30:00,02:44:00,0.1,kWh,$0.03,,,,
11,Electric usage,2023-01-30 00:00:00-08:00,02:45:00,02:59:00,0.1,kWh,$0.03,,,,
12,Electric usage,2023-01-30 00:00:00-08:00,03:00:00,03:14:00,0.1,kWh,$0.03,,,,
13,Electric usage,2023-01-30 00:00:00-08:00,03:15:00,03:29:00,0.1,kWh,$0.03,,,,
14,Electric usage,2023-01-30 00:00:00-08:00,03:30:00,03:44:00,0.1,kWh,$0.03,,,,
15,Electric usage,2023-01-30 00:00:00-08:00,03:45:00,03:59:00,0.1,kWh,$0.03,,,,
16,Electric usage,2023-01-30 00:00:00-08:00,04:00:00,04:14:00,0.11,kWh,$0.03,,,,
17,Electric usage,2023-01-30 00:00:00-08:00,04:15:00,04:29:00,0.11,kWh,$0.03,,,,
18,Electric usage,2023-01-30 00:00:00-08:00,04:30:00,04:44:00,0.11,kWh,$0.03,,,,
19,Electric usage,2023-01-30 00:00:00-08:00,04:45:00,04:59:00,0.11,kWh,$0.03,,,,
20,Electric usage,2023-01-30 00:00:00-08:00,05:00:00,05:14:00,0.16,kWh,$0.05,,,,
21,Electric usage,2023-01-30 00:00:00-08:00,05:15:00,05:29:00,0.16,kWh,$0.05,,,,
22,Electric usage,2023-01-30 00:00:00-08:00,05:30:00,05:44:00,0.16,kWh,$0.05,,,,
23,Electric usage,2023-01-30 00:00:00-08:00,05:45:00,05:59:00,0.16,kWh,$0.05,,,,
24,Electric usage,2023-01-30 00:00:00-08:00,06:00:00,06:14:00,0.14,kWh,$0.04,,,,
25,Electric usage,2023-01-30 00:00:00-08:00,06:15:00,06:29:00,0.14,kWh,$0.04,,,,
26,Electric usage,2023-01-30 00:00:00-08:00,06:30:00,06:44:00,0.14,kWh,$0.04,,,,
27,Electric usage,2023-01-30 00:00:00-08:00,06:45:00,06:59:00,0.14,kWh,$0.04,,,,
28,Electric usage,2023-01-30 00:00:00-08:00,07:00:00,07:14:00,0.17,kWh,$0.05,,,,
29,Electric usage,2023-01-30 00:00:00-08:00,07:15:00,07:29:00,0.17,kWh,$0.05,,,,
30,Electric usage,2023-01-30 00:00:00-08:00,07:30:00,07:44:00,0.17,kWh,$0.05,,,,
31,Electric usage,2023-01-30 00:00:00-08:00,07:45:00,07:59:00,0.17,kWh,$0.05,,,,
32,Electric usage,2023-01-30 00:00:00-08:00,08:00:00,08:14:00,0.17,kWh,$0.05,,,,
33,Electric usage,2023-01-30 00:00:00-08:00,08:15:00,08:29:00,0.17,kWh,$0.05,,,,
34,Electric usage,2023-01-30 00:00:00-08:00,08:30:00,08:44:00,0.17,kWh,$0.05,,,,
35,Electric usage,2023-01-30 00:00:00-08:00,08:45:00,08:59:00,0.17,kWh,$0.05,,,,
36,Electric usage,2023-01-30 00:00:00-08:00,09:00:00,09:14:00,0.22,kWh,$0.07,,,,
37,Electric usage,2023-01-30 00:00:00-08:00,09:15:00,09:29:00,0.22,kWh,$0.07,,,,
38,Electric usage,2023-01-30 00:00:00-08:00,09:30:00,09:44:00,0.22,kWh,$0.07,,,,
39,Electric usage,2023-01-30 00:00:00-08:00,09:45:00,09:59:00,0.22,kWh,$0.07,,,,
40,Electric usage,2023-01-30 00:00:00-08:00,10:00:00,10:14:00,0.18,kWh,$0.05,,,,
41,Electric usage,2023-01-30 00:00:00-08:00,10:15:00,10:29:00,0.18,kWh,$0.05,,,,
42,Electric usage,2023-01-30 00:00:00-08:00,10:30:00,10:44:00,0.18,kWh,$0.05,,,,
43,Electric usage,2023-01-30 00:00:00-08:00,10:45:00,10:59:00,0.18,kWh,$0.05,,,,
44,Electric usage,2023-01-30 00:00:00-08:00,11:00:00,11:14:00,0.17,kWh,$0.05,,,,
45,Electric usage,2023-01-30 00:00:00-08:00,11:15:00,11:29:00,0.17,kWh,$0.05,,,,
46,Electric usage,2023-01-30 00:00:00-08:00,11:30:00,11:44:00,0.17,kWh,$0.05,,,,
47,Electric usage,2023-01-30 00:00:00-08:00,11:45:00,11:59:00,0.17,kWh,$0.05,,,,
48,Electric usage,2023-01-30 00:00:00-08:00,12:00:00,12:14:00,0.19,kWh,$0.05,,,,
49,Electric usage,2023-01-30 00:00:00-08:00,12:15:00,12:29:00,0.19,kWh,$0.05,,,,
50,Electric usage,2023-01-30 00:00:00-08:00,12:30:00,12:44:00,0.19,kWh,$0.05,,,,
51,Electric usage,2023-01-30 00:00:00-08:00,12:45:00,12:59:00,0.19,kWh,$0.05,,,,
52,Electric usage,2023-01-30 00:00:00-08:00,13:00:00,13:14:00,0.17,kWh,$0.05,,,,
53,Electric usage,2023-01-30 00:00:00-08:00,13:15:00,13:29:00,0.17,kWh,$0.05,,,,
54,Electric usage,2023-01-30 00:00:00-08:00,13:30:00,13:44:00,0.17,kWh,$0.05,,,,
55,Electric usage,2023-01-30 00:00:00-08:00,13:45:00,13:59:00,0.17,kWh,$0.05,,,,
56,Electric usage,2023-01-30 00:00:00-08:00,14:00:00,14:14:00,0.16,kWh,$0.05,,,,
57,Electric usage,2023-01-30 00:00:00-08:00,14:15:00,14:29:00,0.16,kWh,$0.05,,,,
58,Electric usage,2023-01-30 00:00:00-08:00,14:30:00,14:44:00,0.16,kWh,$0.05,,,,
59,Electric usage,2023-01-30 00:00:00-08:00,14:45:00,14:59:00,0.16,kWh,$0.05,,,,
60,Electric usage,2023-01-30 00:00:00-08:00,15:00:00,15:14:00,0.17,kWh,$0.05,,,,
61,Electric usage,2023-01-30 00:00:00-08:00,15:15:00,15:29:00,0.17,kWh,$0.05,,,,
62,Electric usage,2023-01-30 00:00:00-08:00,15:30:00,15:44:00,0.17,kWh,$0.05,,,,
63,Electric usage,2023-01-30 00:00:00-08:00,15:45:00,15:59:00,0.17,kWh,$0.05,,,,
64,Electric usage,2023-01-30 00:00:00-08:00,16:00:00,16:14:00,0.19,kWh,$0.06,,,,
65,Electric usage,2023-01-30 00:00:00-08:00,16:15:00,16:29:00,0.19,kWh,$0.06,,,,
66,Electric usage,2023-01-30 00:00:00-08:00,16:30:00,16:44:00,0.19,kWh,$0.06,,,,
67,Electric usage,2023-01-30 00:00:00-08:00,16:45:00,16:59:00,0.19,kWh,$0.06,,,,
68,Electric usage,2023-01-30 00:00:00-08:00,17:00:00,17:14:00,0.15,kWh,$0.05,,,,
69,Electric usage,2023-01-30 00:00:00-08:00,17:15:00,17:29:00,0.15,kWh,$0.05,,,,
70,Electric usage,2023-01-30 00:00:00-08:00,17:30:00,17:44:00,0.15,kWh,$0.05,,,,
71,Electric usage,2023-01-30 00:00:00-08:00,17:45:00,17:59:00,0.15,kWh,$0.05,,,,
72,Electric usage,2023-01-30 00:00:00-08:00,18:00:00,18:14:00,0.18,kWh,$0.06,,,,
73,Electric usage,2023-01-30 00:00:00-08:00,18:15:00,18:29:00,0.18,kWh,$0.06,,,,
74,Electric usage,2023-01-30 00:00:00-08:00,18:30:00,18:44:00,0.18,kWh,$0.06,,,,
75,Electric usage,2023-01-30 00:00:00-08:00,18:45:00,18:59:00,0.18,kWh,$0.06,,,,
76,Electric usage,2023-01-30 00:00:00-08:00,19:00:00,19:14:00,0.23,kWh,$0.07,,,,
77,Electric usage,2023-01-30 00:00:00-08:00,19:15:00,19:29:00,0.23,kWh,$0.07,,,,
78,Electric usage,2023-01-30 00:00:00-08:00,19:30:00,19:44:00,0.23,kWh,$0.07,,,,
79,Electric usage,2023-01-30 00:00:00-08:00,19:45:00,19:59:00,0.23,kWh,$0.07,,,,
80,Electric usage,2023-01-30 00:00:00-08:00,20:00:00,20:14:00,0.19,kWh,$0.06,,,,
81,Electric usage,2023-01-30 00:00:00-08:00,20:15:00,20:29:00,0.19,kWh,$0.06,,,,
82,Electric usage,2023-01-30 00:00:00-08:00,20:30:00,20:44:00,0.19,kWh,$0.06,,,,
83,Electric usage,2023-01-30 00:00:00-08:00,20:45:00,20:59:00,0.19,kWh,$0.06,,,,
84,Electric usage,2023-01-30 00:00:00-08:00,21:00:00,21:14:00,0.26,kWh,$0.07,,,,
85,Electric usage,2023-01-30 00:00:00-08:00,21:15:00,21:29:00,0.26,kWh,$0.07,,,,
86,Electric usage,2023-01-30 00:00:00-08:00,21:30:00,21:44:00,0.26,kWh,$0.07,,,,
87,Electric usage,2023-01-30 00:00:00-08:00,21:45:00,21:59:00,0.26,kWh,$0.07,,,,
88,Electric usage,2023-01-30 00:00:00-08:00,22:00:00,22:14:00,0.27,kWh,$0.08,,,,
89,Electric usage,2023-01-30 00:00:00-08:00,22:15:00,22:29:00,0.27,kWh,$0.08,,,,
90,Electric usage,2023-01-30 00:00:00-08:00,22:30:00,22:44:00,0.27,kWh,$0.08,,,,
91,Electric usage,2023-01-30 00:00:00-08:00,22:45:00,22:59:00,0.27,kWh,$0.08,,,,
92,Electric usage,2023-01-30 00:00:00-08:00,23:00:00,23:14:00,0.15,kWh,$0.04,,,,
93,Electric usage,2023-01-30 00:00:00-08:00,23:15:00,23:29:00,0.15,kWh,$0.04,,,,
94,Electric usage,2023-01-30 00:00:00-08:00,23:30:00,23:44:00,0.15,kWh,$0.04,,,,
95,Electric usage,2023-01-30 00:00:00-08:00,23:45:00,23:59:00,0.15,kWh,$0.04,,,,
96,Electric usage,2023-01-31 00:00:00-08:00,00:00:00,00:14:00,0.1,kWh,$0.03,,,,
97,Electric usage,2023-01-31 00:00:00-08:00,00:15:00,00:29:00,0.1,kWh,$0.03,,,,
98,Electric usage,2023-01-31 00:00:00-08:00,00:30:00,00:44:00,0.1,kWh,$0.03,,,,
99,Electric usage,2023-01-31 00:00:00-08:00,00:45:00,00:59:00,0.1,kWh,$0.03,,,,
100,Electric usage,2023-01-31 00:00:00-08:00,01:00:00,01:14:00,0.11,kWh,$0.03,,,,
101,Electric usage,2023-01-31 00:00:00-08:00,01:15:00,01:29:00,0.11,kWh,$0.03,,,,
102,Electric usage,2023-01-31 00:00:00-08:00,01:30:00,01:44:00,0.11,kWh,$0.03,,,,
103,Electric usage,2023-01-31 00:00:00-08:00,01:45:00,01:59:00,0.11,kWh,$0.03,,,,
104,Electric usage,2023-01-31 00:00:00-08:00,02:00:00,02:14:00,0.1,kWh,$0.03,,,,
105,Electric usage,2023-01-31 00:00:00-08:00,02:15:00,02:29:00,0.1,kWh,$0.03,,,,
106,Electric usage,2023-01-31 00:00:00-08:00,02:30:00,02:44:00,0.1,kWh,$0.03,,,,
107,Electric usage,2023-01-31 00:00:00-08:00,02:45:00,02:59:00,0.1,kWh,$0.03,,,,
108,Electric usage,2023-01-31 00:00:00-08:00,03:00:00,03:14:00,0.13,kWh,$0.04,,,,
109,Electric usage,2023-01-31 00:00:00-08:00,03:15:00,03:29:00,0.13,kWh,$0.04,,,,
110,Electric usage,2023-01-31 00:00:00-08:00,03:30:00,03:44:00,0.13,kWh,$0.04,,,,
111,Electric usage,2023-01-31 00:00:00-08:00,03:45:00,03:59:00,0.13,kWh,$0.04,,,,
112,Electric usage,2023-01-31 00:00:00-08:00,04:00:00,04:14:00,0.15,kWh,$0.04,,,,
113,Electric usage,2023-01-31 00:00:00-08:00,04:15:00,04:29:00,0.15,kWh,$0.04,,,,
114,Electric usage,2023-01-31 00:00:00-08:00,04:30:00,04:44:00,0.15,kWh,$0.04,,,,
115,Electric usage,2023-01-31 00:00:00-08:00,04:45:00,04:59:00,0.15,kWh,$0.04,,,,
116,Electric usage,2023-01-31 00:00:00-08:00,05:00:00,05:14:00,0.17,kWh,$0.05,,,,
117,Electric usage,2023-01-31 00:00:00-08:00,05:15:00,05:29:00,0.17,kWh,$0.05,,,,
118,Electric usage,2023-01-31 00:00:00-08:00,05:30:00,05:44:00,0.17,kWh,$0.05,,,,
119,Electric usage,2023-01-31 00:00:00-08:00,05:45:00,05:59:00,0.17,kWh,$0.05,,,,
120,Electric usage,2023-01-31 00:00:00-08:00,06:00:00,06:14:00,0.16,kWh,$0.05,,,,
121,Electric usage,2023-01-31 00:00:00-08:00,06:15:00,06:29:00,0.16,kWh,$0.05,,,,
122,Electric usage,2023-01-31 00:00:00-08:00,06:30:00,06:44:00,0.16,kWh,$0.05,,,,
123,Electric usage,2023-01-31 00:00:00-08:00,06:45:00,06:59:00,0.16,kWh,$0.05,,,,
124,Electric usage,2023-01-31 00:00:00-08:00,07:00:00,07:14:00,0.2,kWh,$0.06,,,,
125,Electric usage,2023-01-31 00:00:00-08:00,07:15:00,07:29:00,0.2,kWh,$0.06,,,,
126,Electric usage,2023-01-31 00:00:00-08:00,07:30:00,07:44:00,0.2,kWh,$0.06,,,,
127,Electric usage,2023-01-31 00:00:00-08:00,07:45:00,07:59:00,0.2,kWh,$0.06,,,,
128,Electric usage,2023-01-31 00:00:00-08:00,08:00:00,08:14:00,0.21,kWh,$0.06,,,,
129,Electric usage,2023-01-31 00:00:00-08:00,08:15:00,08:29:00,0.21,kWh,$0.06,,,,
130,Electric usage,2023-01-31 00:00:00-08:00,08:30:00,08:44:00,0.21,kWh,$0.06,,,,
131,Electric usage,2023-01-31 00:00:00-08:00,08:45:00,08:59:00,0.21,kWh,$0.06,,,,
132,Electric usage,2023-01-31 00:00:00-08:00,09:00:00,09:14:00,0.81,kWh,$0.24,,,,
133,Electric usage,2023-01-31 00:00:00-08:00,09:15:00,09:29:00,0.81,kWh,$0.24,,,,
134,Electric usage,2023-01-31 00:00:00-08:00,09:30:00,09:44:00,0.81,kWh,$0.24,,,,
135,Electric usage,2023-01-31 00:00:00-08:00,09:45:00,09:59:00,0.81,kWh,$0.24,,,,
136,Electric usage,2023-01-31 00:00:00-08:00,10:00:00,10:14:00,0.18,kWh,$0.05,,,,
137,Electric usage,2023-01-31 00:00:00-08:00,10:15:00,10:29:00,0.18,kWh,$0.05,,,,
138,Electric usage,2023-01-31 00:00:00-08:00,10:30:00,10:44:00,0.18,kWh,$0.05,,,,
139,Electric usage,2023-01-31 00:00:00-08:00,10:45:00,10:59:00,0.18,kWh,$0.05,,,,
140,Electric usage,2023-01-31 00:00:00-08:00,11:00:00,11:14:00,0.15,kWh,$0.04,,,,
141,Electric usage,2023-01-31 00:00:00-08:00,11:15:00,11:29:00,0.15,kWh,$0.04,,,,
142,Electric usage,2023-01-31 00:00:00-08:00,11:30:00,11:44:00,0.15,kWh,$0.04,,,,
143,Electric usage,2023-01-31 00:00:00-08:00,11:45:00,11:59:00,0.15,kWh,$0.04,,,,
144,Electric usage,2023-01-31 00:00:00-08:00,12:00:00,12:14:00,0.15,kWh,$0.04,,,,
145,Electric usage,2023-01-31 00:00:00-08:00,12:15:00,12:29:00,0.15,kWh,$0.04,,,,
146,Electric usage,2023-01-31 00:00:00-08:00,12:30:00,12:44:00,0.15,kWh,$0.04,,,,
147,Electric usage,2023-01-31 00:00:00-08:00,12:45:00,12:59:00,0.15,kWh,$0.04,,,,
148,Electric usage,2023-01-31 00:00:00-08:00,13:00:00,13:14:00,0.15,kWh,$0.04,,,,
149,Electric usage,2023-01-31 00:00:00-08:00,13:15:00,13:29:00,0.15,kWh,$0.04,,,,
150,Electric usage,2023-01-31 00:00:00-08:00,13:30:00,13:44:00,0.15,kWh,$0.04,,,,
151,Electric usage,2023-01-31 00:00:00-08:00,13:45:00,13:59:00,0.15,kWh,$0.04,,,,
152,Electric usage,2023-01-31 00:00:00-08:00,14:00:00,14:14:00,0.14,kWh,$0.04,,,,
153,Electric usage,2023-01-31 00:00:00-08:00,14:15:00,14:29:00,0.14,kWh,$0.04,,,,
154,Electric usage,2023-01-31 00:00:00-08:00,14:30:00,14:44:00,0.14,kWh,$0.04,,,,
155,Electric usage,2023-01-31 00:00:00-08:00,14:45:00,14:59:00,0.14,kWh,$0.04,,,,
156,Electric usage,2023-01-31 00:00:00-08:00,15:00:00,15:14:00,0.16,kWh,$0.05,,,,
157,Electric usage,2023-01-31 00:00:00-08:00,15:15:00,15:29:00,0.16,kWh,$0.05,,,,
158,Electric usage,2023-01-31 00:00:00-08:00,15:30:00,15:44:00,0.16,kWh,$0.05,,,,
159,Electric usage,2023-01-31 00:00:00-08:00,15:45:00,15:59:00,0.16,kWh,$0.05,,,,
160,Electric usage,2023-01-31 00:00:00-08:00,16:00:00,16:14:00,0.14,kWh,$0.04,,,,
161,Electric usage,2023-01-31 00:00:00-08:00,16:15:00,16:29:00,0.14,kWh,$0.04,,,,
162,Electric usage,2023-01-31 00:00:00-08:00,16:30:00,16:44:00,0.14,kWh,$0.04,,,,
163,Electric usage,2023-01-31 00:00:00-08:00,16:45:00,16:59:00,0.14,kWh,$0.04,,,,
164,Electric usage,2023-01-31 00:00:00-08:00,17:00:00,17:14:00,0.19,kWh,$0.06,,,,
165,Electric usage,2023-01-31 00:00:00-08:00,17:15:00,17:29:00,0.19,kWh,$0.06,,,,
166,Electric usage,2023-01-31 00:00:00-08:00,17:30:00,17:44:00,0.19,kWh,$0.06,,,,
167,Electric usage,2023-01-31 00:00:00-08:00,17:45:00,17:59:00,0.19,kWh,$0.06,,,,
168,Electric usage,2023-01-31 00:00:00-08:00,18:00:00,18:14:00,0.38,kWh,$0.12,,,,
169,Electric usage,2023-01-31 00:00:00-08:00,18:15:00,18:29:00,0.38,kWh,$0.12,,,,
170,Electric usage,2023-01-31 00:00:00-08:00,18:30:00,18:44:00,0.38,kWh,$0.12,,,,
171,Electric usage,2023-01-31 00:00:00-08:00,18:45:00,18:59:00,0.38,kWh,$0.12,,,,
172,Electric usage,2023-01-31 00:00:00-08:00,19:00:00,19:14:00,0.24,kWh,$0.07,,,,
173,Electric usage,2023-01-31 00:00:00-08:00,19:15:00,19:29:00,0.24,kWh,$0.07,,,,
174,Electric usage,2023-01-31 00:00:00-08:00,19:30:00,19:44:00,0.24,kWh,$0.07,,,,
175,Electric usage,2023-01-31 00:00:00-08:00,19:45:00,19:59:00,0.24,kWh,$0.07,,,,
176,Electric usage,2023-01-31 00:00:00-08:00,20:00:00,20:14:00,0.16,kWh,$0.05,,,,
177,Electric usage,2023-01-31 00:00:00-08:00,20:15:00,20:29:00,0.16,kWh,$0.05,,,,
178,Electric usage,2023-01-31 00:00:00-08:00,20:30:00,20:44:00,0.16,kWh,$0.05,,,,
179,Electric usage,2023-01-31 00:00:00-08:00,20:45:00,20:59:00,0.16,kWh,$0.05,,,,
180,Electric usage,2023-01-31 00:00:00-08:00,21:00:00,21:14:00,0.16,kWh,$0.05,,,,
181,Electric usage,2023-01-31 00:00:00-08:00,21:15:00,21:29:00,0.16,kWh,$0.05,,,,
182,Electric usage,2023-01-31 00:00:00-08:00,21:30:00,21:44:00,0.16,kWh,$0.05,,,,
183,Electric usage,2023-01-31 00:00:00-08:00,21:45:00,21:59:00,0.16,kWh,$0.05,,,,
184,Electric usage,2023-01-31 00:00:00-08:00,22:00:00,22:14:00,0.13,kWh,$0.04,,,,
185,Electric usage,2023-01-31 00:00:00-08:00,22:15:00,22:29:00,0.13,kWh,$0.04,,,,
186,Electric usage,2023-01-31 00:00:00-08:00,22:30:00,22:44:00,0.13,kWh,$0.04,,,,
187,Electric usage,2023-01-31 00:00:00-08:00,22:45:00,22:59:00,0.13,kWh,$0.04,,,,
188,Electric usage,2023-01-31 00:00:00-08:00,23:00:00,23:14:00,0.11,kWh,$0.03,,,,
189,Electric usage,2023-01-31 00:00:00-08:00,23:15:00,23:29:00,0.11,kWh,$0.03,,,,
190,Electric usage,2023-01-31 00:00:00-08:00,23:30:00,23:44:00,0.11,kWh,$0.03,,,,
191,Electric usage,2023-01-31 00:00:00-08:00,23:45:00,23:59:00,0.11,kWh,$0.03,,,,
192,Electric usage,2023-02-01 00:00:00-08:00,00:00:00,00:14:00,0.12,kWh,$0.03,,,,
193,Electric usage,2023-02-01 00:00:00-08:00,00:15:00,00:29:00,0.12,kWh,$0.03,,,,
194,Electric usage,2023-02-01 00:00:00-08:00,00:30:00,00:44:00,0.12,kWh,$0.03,,,,
195,Electric usage,2023-02-01 00:00:00-08:00,00:45:00,00:59:00,0.12,kWh,$0.03,,,,
196,Electric usage,2023-02-01 00:00:00-08:00,01:00:00,01:14:00,0.11,kWh,$0.03,,,,
197,Electric usage,2023-02-01 00:00:00-08:00,01:15:00,01:29:00,0.11,kWh,$0.03,,,,
198,Electric usage,2023-02-01 00:00:00-08:00,01:30:00,01:44:00,0.11,kWh,$0.03,,,,
199,Electric usage,2023-02-01 00:00:00-08:00,01:45:00,01:59:00,0.11,kWh,$0.03,,,,
200,Electric usage,2023-02-01 00:00:00-08:00,02:00:00,02:14:00,0.11,kWh,$0.03,,,,
201,Electric usage,2023-02-01 00:00:00-08:00,02:15:00,02:29:00,0.11,kWh,$0.03,,,,
202,Electric usage,2023-02-01 00:00:00-08:00,02:30:00,02:44:00,0.11,kWh,$0.03,,,,
203,Electric usage,2023-02-01 00:00:00-08:00,02:45:00,02:59:00,0.11,kWh,$0.03,,,,
204,Electric usage,2023-02-01 00:00:00-08:00,03:00:00,03:14:00,0.12,kWh,$0.03,,,,
205,Electric usage,2023-02-01 00:00:00-08:00,03:15:00,03:29:00,0.12,kWh,$0.03,,,,
206,Electric usage,2023-02-01 00:00:00-08:00,03:30:00,03:44:00,0.12,kWh,$0.03,,,,
207,Electric usage,2023-02-01 00:00:00-08:00,03:45:00,03:59:00,0.12,kWh,$0.03,,,,
208,Electric usage,2023-02-01 00:00:00-08:00,04:00:00,04:14:00,0.12,kWh,$0.04,,,,
209,Electric usage,2023-02-01 00:00:00-08:00,04:15:00,04:29:00,0.12,kWh,$0.04,,,,
210,Electric usage,2023-02-01 00:00:00-08:00,04:30:00,04:44:00,0.12,kWh,$0.04,,,,
211,Electric usage,2023-02-01 00:00:00-08:00,04:45:00,04:59:00,0.12,kWh,$0.04,,,,
212,Electric usage,2023-02-01 00:00:00-08:00,05:00:00,05:14:00,0.16,kWh,$0.05,,,,
213,Electric usage,2023-02-01 00:00:00-08:00,05:15:00,05:29:00,0.16,kWh,$0.05,,,,
214,Electric usage,2023-02-01 00:00:00-08:00,05:30:00,05:44:00,0.16,kWh,$0.05,,,,
215,Electric usage,2023-02-01 00:00:00-08:00,05:45:00,05:59:00,0.16,kWh,$0.05,,,,
216,Electric usage,2023-02-01 00:00:00-08:00,06:00:00,06:14:00,0.15,kWh,$0.04,,,,
217,Electric usage,2023-02-01 00:00:00-08:00,06:15:00,06:29:00,0.15,kWh,$0.04,,,,
218,Electric usage,2023-02-01 00:00:00-08:00,06:30:00,06:44:00,0.15,kWh,$0.04,,,,
219,Electric usage,2023-02-01 00:00:00-08:00,06:45:00,06:59:00,0.15,kWh,$0.04,,,,
220,Electric usage,2023-02-01 00:00:00-08:00,07:00:00,07:14:00,0.19,kWh,$0.06,,,,
221,Electric usage,2023-02-01 00:00:00-08:00,07:15:00,07:29:00,0.19,kWh,$0.06,,,,
222,Electric usage,2023-02-01 00:00:00-08:00,07:30:00,07:44:00,0.19,kWh,$0.06,,,,
223,Electric usage,2023-02-01 00:00:00-08:00,07:45:00,07:59:00,0.19,kWh,$0.06,,,,
224,Electric usage,2023-02-01 00:00:00-08:00,08:00:00,08:14:00,0.18,kWh,$0.05,,,,
225,Electric usage,2023-02-01 00:00:00-08:00,08:15:00,08:29:00,0.18,kWh,$0.05,,,,
226,Electric usage,2023-02-01 00:00:00-08:00,08:30:00,08:44:00,0.18,kWh,$0.05,,,,
227,Electric usage,2023-02-01 00:00:00-08:00,08:45:00,08:59:00,0.18,kWh,$0.05,,,,
228,Electric usage,2023-02-01 00:00:00-08:00,09:00:00,09:14:00,0.2,kWh,$0.06,,,,
229,Electric usage,2023-02-01 00:00:00-08:00,09:15:00,09:29:00,0.2,kWh,$0.06,,,,
230,Electric usage,2023-02-01 00:00:00-08:00,09:30:00,09:44:00,0.2,kWh,$0.06,,,,
231,Electric usage,2023-02-01 00:00:00-08:00,09:45:00,09:59:00,0.2,kWh,$0.06,,,,
232,Electric usage,2023-02-01 00:00:00-08:00,10:00:00,10:14:00,0.26,kWh,$0.07,,,,
233,Electric usage,2023-02-01 00:00:00-08:00,10:15:00,10:29:00,0.26,kWh,$0.07,,,,
234,Electric usage,2023-02-01 00:00:00-08:00,10:30:00,10:44:00,0.26,kWh,$0.07,,,,
235,Electric usage,2023-02-01 00:00:00-08:00,10:45:00,10:59:00,0.26,kWh,$0.07,,,,
236,Electric usage,2023-02-01 00:00:00-08:00,11:00:00,11:14:00,0.42,kWh,$0.12,,,,
237,Electric usage,2023-02-01 00:00:00-08:00,11:15:00,11:29:00,0.42,kWh,$0.12,,,,
238,Electric usage,2023-02-01 00:00:00-08:00,11:30:00,11:44:00,0.42,kWh,$0.12,,,,
239,Electric usage,2023-02-01 00:00:00-08:00,11:45:00,11:59:00,0.42,kWh,$0.12,,,,
240,Electric usage,2023-02-01 00:00:00-08:00,12:00:00,12:14:00,0.22,kWh,$0.06,,,,
241,Electric usage,2023-02-01 00:00:00-08:00,12:15:00,12:29:00,0.22,kWh,$0.06,,,,
242,Electric usage,2023-02-01 00:00:00-08:00,12:30:00,12:44:00,0.22,kWh,$0.06,,,,
243,Electric usage,2023-02-01 00:00:00-08:00,12:45:00,12:59:00,0.22,kWh,$0.06,,,,
244,Electric usage,2023-02-01 00:00:00-08:00,13:00:00,13:14:00,0.25,kWh,$0.07,,,,
245,Electric usage,2023-02-01 00:00:00-08:00,13:15:00,13:29:00,0.25,kWh,$0.07,,,,
246,Electric usage,2023-02-01 00:00:00-08:00,13:30:00,13:44:00,0.25,kWh,$0.07,,,,
247,Electric usage,2023-02-01 00:00:00-08:00,13:45:00,13:59:00,0.25,kWh,$0.07,,,,
248,Electric usage,2023-02-01 00:00:00-08:00,14:00:00,14:14:00,0.21,kWh,$0.06,,,,
249,Electric usage,2023-02-01 00:00:00-08:00,14:15:00,14:29:00,0.21,kWh,$0.06,,,,
250,Electric usage,2023-02-01 00:00:00-08:00,14:30:00,14:44:00,0.21,kWh,$0.06,,,,
251,Electric usage,2023-02-01 00:00:00-08:00,14:45:00,14:59:00,0.21,kWh,$0.06,,,,
252,Electric usage,2023-02-01 00:00:00-08:00,15:00:00,15:14:00,0.25,kWh,$0.07,,,,
253,Electric usage,2023-02-01 00:00:00-08:00,15:15:00,15:29:00,0.25,kWh,$0.07,,,,
254,Electric usage,2023-02-01 00:00:00-08:00,15:30:00,15:44:00,0.25,kWh,$0.07,,,,
255,Electric usage,2023-02-01 00:00:00-08:00,15:45:00,15:59:00,0.25,kWh,$0.07,,,,
256,Electric usage,2023-02-01 00:00:00-08:00,16:00:00,16:14:00,0.27,kWh,$0.08,,,,
257,Electric usage,2023-02-01 00:00:00-08:00,16:15:00,16:29:00,0.27,kWh,$0.08,,,,
